# Dark Elf Female NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Aalmu Hlaryneth | tr
Irvasa Sorvas | tr
Irvassa Veleth | tr
Irver Duleth | tr
Irvsie Othran | vanilla
Issa Favelnim | tr
Issala Ralren | tr
Ivalayn Sendrul | tr
Ivela Drals | tr
Ivela Minith | tr
Ivela Uvenim | vanilla
Iveri Llothri | vanilla
Ivero Hloran | tr
Iveru Falaal | tr
Iveru Favelnim | tr
Iveru Ramarys | tr
Ivrama Relthen | tr
Ivramie Delath | tr
Ivramie Drath | tr
Ivramie Mothryon | tr
Ivramie Sarandas | vanilla
Ivramie Selobar | tr
Ivrea Llothro | tr
Ivrisa Selobar | tr
Ivrosa Llanith | tr
Ivrosa Llendu | tr
Ivrosa Rethul | tr
Ivrosa Sarandas | tr
Ivrosa Veltis | tr
Ivrosa Verethi | vanilla
Jamyne Avel | tr
Jevale Narusa | tr
Jevisi Sendas | tr
Jinrisa Oren | tr
Jivana Hleryn | tr
Jolamus Thamori | tr
Jula Minthri | tr
Jula Nuria | tr
Kalara Indarlas | tr
Katera Kirbyn | tr
Kausha Mantashpi | vanilla
Kausha Risannu | tr
Kerala Manel | tr
Khaliza Adlan | tr
Kimi Put | tr
Kinara Torvel | tr
Kinattu Bisbammal | tr
Laalalvo Irano | tr
Lanas Nelothril | tr
Lanea Nelor | tr
Larenya Timrys | tr
Larisi Sorvyn | tr
Larissa Nethri | tr
Larusani Hashab | tr
Larys Bryreth | tr
Larys Halvan | tr
Leran Sethelas | tr
Leranen Othril | tr
Lervan Arethi | tr
Lervathi Arvul | tr
Levolne Sorvi | tr
Linera Valsi | tr
Liretha Falas | tr
Lirielle Othreleth | tr
Liryne Salosi | tr
Liuba Onamas | tr
Llaadira Umalor | tr
Llaala Moryn | tr
Llaala Nothren | tr
Llaalamu Sathren | vanilla
Llaalave Nothren | tr
Llaalave Uveleth | tr
Llaalsa Dralor | vanilla
Llaalsa Llendu | tr
Llaalsa Vathras | tr
Llanani Daran | tr
Llananu Raran | tr
Llandesa Romoran | tr
Llandesa Samane | tr
Llandora Arani | tr
Llandora Falavel | tr
Llandrale Varam | vanilla
Llandreri Selothan | vanilla
Llanehra Androthi | tr
Llania Darvani | tr
Llara Lluvese | tr
Llarala Belvayn | tr
Llaralsa Nirith | tr
Llarani Divas | tr
Llarara Omayn | vanilla
Llarena Elarven | tr
Llareu Bethones | tr
Llaris Uval | tr
Llarisa Tevothar | tr
Llaros Uvayn | vanilla
Llarusea Andrethi | vanilla
Llaryna Avani | tr
Llaryni Medresi | tr
Llaryno Savel | tr
Llasi Romoril | tr
Llathasa Mavandas | tr
Llathise Daren | tr
Llathise Darys | tr
Llathise Dralas | vanilla
Llathyno Hlaalu | vanilla
Llathyno Indaren | tr
Llavali Ules | tr
Llavane Arenim | tr
Llavane Hlas | vanilla
Llavasa Anderin | tr
Llavela Vian | tr
Llavelea Nelvani | vanilla
Llavesa Drom | vanilla
Llaynasa Nothro | tr
Llaynasa Othran | vanilla
Llayne Neleth | tr
Llayne Nethri | tr
Llaynu Maanil | tr
Lledora Rionith | tr
Lledsa Vari | vanilla
Lledsea Relas | vanilla
Llehra Sarani | tr
Llemisa Marys | vanilla
Llendyl Darothan | tr
Llenesi Braram | tr
Llensi Betharvel | tr
Llera Danmil | tr
Llerari Nilyn | tr
Lleresia Himnu | tr
Llereve Sadas | tr
Llernele Yantus | tr
Lleroni Hlaalu | tr
Llerusa Goran | tr
Llerusa Hlaalu | vanilla
Llethe Marolus | tr
Llethra Barayn | tr
Llevana Andruthi | tr
Llevana Salaren | vanilla
Llevane Helas | tr
Llevari Telsaran | tr
Llevari Uvelar | tr
Llevena Sendas | vanilla
Llevora Gavin | tr
Lleyasan Oleroth | tr
Llidresi Sathis | tr
Llineth Indosi | tr
Llirala Arys | tr
Llirala Sendas | vanilla
Lliranit Eseroth | tr
Lliretha Arantam | tr
Llirvina Relaram | tr
Llivas Madryon | tr
Llivas Othravel | vanilla
Llivu Ondaras | tr
Llolethys Sulen | tr
Llonasa Heleran | tr
Llondresa Reloth | vanilla
Llonise Fovalith | tr
Llorayna Sethan | vanilla
Lloris Dalan | tr
Llorissa Faali | tr
Lloryno Norom | tr
Llosea Valen | tr
Llothia Semaris | tr
Llunela Hleran | vanilla
Llunera Haran | tr
Lodyna Berano | tr
Lodyna Garer | tr
Lorara Maralveth | tr
Lorin Elval | tr
Lotsia Redys | tr
Lunera Hlas | tr
Luryne Githendas | tr
Lustiya Farven | tr
Maalalmo Nethan | tr
Maalna Balur | tr
Madali Girend | tr
Madali Merath | tr
Madalin Rendays | tr
Madar Senatam | tr
Madaynu Aravel | vanilla
Madaynu Urelen | tr
Madrale Ervel | tr
Madrale Thirith | vanilla
Madrana Varen | tr
Madrani Drolan | tr
Madura Andrano | tr
Madura Beloren | tr
Madura Seran | vanilla
Maela Berzanamat | tr
Maela Kaushad | vanilla
Maelmu Assatani | tr
Maelu Assammatalit | tr
Maenasi Assasnadit | tr
Malaru Dralor | tr
Malen Hlervu | tr
Malinu Ashi-Iddan | tr
Malori Droryn | tr
Malori Vendil | tr
Mals Uvela | tr
Malsa Hlareth | tr
Malsa Ules | vanilla
Malven Romori | vanilla
Malvenisa Lloryn | tr
Malvere Ralvayn | tr
Malveth Navur | tr
Malvi Uvalor | tr
Mamaea Ashun-Idantus | vanilla
Mamaea Banapli | tr
Mamaea Ularshanentus | vanilla
Mamani Benapal | tr
Mamusa Shashmassamsi | vanilla
Man-Ilu Ashananapal | vanilla
Manabi Kummimmidan | vanilla
Manara Othan | vanilla
Manari Gildaren | tr
Mandresu Gilu | tr
Maneru Salmyn | tr
Manibia Eretan | tr
Manira Aralas | tr
Manirai Mirshamammu | vanilla
Manis Falven | tr
Mannanu Madavel | tr
Mansa Dirvyn | tr
Manse Andus | vanilla
Manse Hlaalo | tr
Manse Horaren | tr
Manse Menas | tr
Manu Odirnapal | vanilla
Manu Zainab | vanilla
Maralie Ares | vanilla
Maralie Thandu | tr
Marana Saruthi | tr
Marasa Aren | vanilla
Maren Uvaren | vanilla
Mari Arthal | tr
Marilia Saram | vanilla
Marisi Thiryon | tr
Marule Liran | tr
Marziah Rathryn | tr
Masalmalu Mendas | tr
Masanshi Ulik | tr
Masu Hainnabibi | tr
Mathesa Helvi | vanilla
Mavrena Thelas | tr
Mavuise Elsethi | tr
Maynu Thirith | tr
Mayvne Avalan | tr
Medave Dralsa | tr
Medila Indaren | vanilla
Medilo Berendal | tr
Medilo Sarayn | tr
Medilo Sendal | tr
Medrala Sadus | tr
Medresi Ofemalen | vanilla
Meduni Silvin | tr
Mehra Drora | vanilla
Mehra Milo | vanilla
Mehra Telas | tr
Meldresi Draleth | tr
Meldresi Sereloth | tr
Meldresi Verenim | tr
Melila Endrovel | tr
Melisan Endureth | tr
Melisi Romandyn | tr
Melsu Indalas | vanilla
Melsu Telnis | tr
Melura Darethi | tr
Meluria Seleth | vanilla
Melvona Marvayn | vanilla
Melvuli Hlaalu | vanilla
Melvure Otheri | tr
Melvure Rindu | vanilla
Melvyne Redras | tr
Mena Hlerr | tr
Meneri Talvi | tr
Menesa Gols | tr
Menthu Arenim | tr
Mera Telalu | tr
Merala Bemua | tr
Meram Tervayn | tr
Meras Drorim | tr
Merel Sindas | tr
Merenu Rathri | tr
Meris Denaven | tr
Merona Thirith | tr
Merula Sethys | tr
Mervu Shaamisalk | tr
Mesana Uthras | tr
Methalas Eves | tr
Methsa Medril | tr
Methulu Ienith | vanilla
Methusea Inem | tr
Mevra Sarayn | tr
Mevrenea Aryon | vanilla
Mevure Hlen | vanilla
Mi-Ilu Massitisun | vanilla
Miara Viake | vanilla
Miaren Drothan | tr
Miaren Tures | tr
Midali Renim | tr
Midaves Favelnim | tr
Midesi Aryn | tr
Midesi Ouradas | tr
Midnabi Sobdishapal | vanilla
Midrasi Oram | tr
Midrasi Selebar | tr
Midura Oril | tr
Mila Siratha | tr
Milana Eseroth | tr
Milara Furam | tr
Milara Orvayn | tr
Milara Selenoth | tr
Milara Vedran | vanilla
Milena Farano | tr
Milesi Herethran | tr
Milna Sevas | tr
Milnea Balur | tr
Milnea Berer | tr
Milns Lloran | tr
Milsa Belvilo | tr
Milune Savrethi | tr
Miluru Andus | vanilla
Milveri Alen | tr
Milvonu Terandas | vanilla
Milynea Andrethi | vanilla
Milynea Nerano | tr
Mimanu Yentimilal | tr
Mimanu Zeba-Adad | vanilla
Minabibi Assardarainat | vanilla
Minasa Hleryn | tr
Minasi Bavani | vanilla
Minasi Indala | tr
Minbid Eraitashpi | tr
Mindeli Drerith | tr
Mindeli Saren | vanilla
Minravi Arves | tr
Minvra Odules | tr
Mira Irietha | tr
Mira Varileth | tr
Mirara Filansi | tr
Mirasa Farethi | tr
Mirasa Rurvyn | tr
Mirasi Sala | tr
Mirasi Sulereth | tr
Miraso Seran | vanilla
Mirdana Hlas | tr
Mirea Alver | tr
Mireli Imayn | tr
Mirem Osun | tr
Mirie Indothran | tr
Mirise Urns | tr
Mirnelea Llothan | tr
Mirnelea Neleth | tr
Mirnelea Terilu | vanilla
Mirri Berothran | tr
Mirusu Nelvilo | tr
Mirvyna Gilenim | tr
Mirysea Telomas | tr
Missa Rhyle | tr
Missamsi Timmiriran | vanilla
Mistress Brara Morvayn | vanilla
Mithri Othynel | tr
Mitria Galavel | tr
Mivanu Andrelo | vanilla
Mivanu Retheran | vanilla
Mivanu Uralen | tr
Modava Mendraso | tr
Molsa Ervethi | tr
Molys Nalsyn | tr
Mondras Ravil | tr
Mora Gindal | tr
Morag Tong Assassin | tr
Mordinara Valethi | tr
Morelu Vinyn | tr
Morethu Trandel | tr
Mori Athenen | tr
Mormelas Arvil | tr
Morna Laelys | tr
Mornsu Omalor | vanilla
Moroni Saleneth | tr
Moroni Uvelas | vanilla
Morusu Varen | vanilla
Movalu Andrani | tr
Movisa Andas | vanilla
Muamu Sayrano | tr
Mudera Berelan | tr
Muldroni Rendas | vanilla
Muldyne Ienit | tr
Mulvena Hlaalu | tr
Mulvi Dredyn | tr
Mulvise Temaril | tr
Mulvisie Othril | vanilla
Munbebi Addarari | vanilla
Munbebi Atinna | tr
Mundrila Ienith | vanilla
Mundrila Rindu | tr
Mundrila Talds | tr
Musa Ashadallit | tr
Musa Yahaz | vanilla
Mutra Llehervu | tr
Muvrulea Daryon | vanilla
Myaru Sareleth | tr
Mylis Raran | tr
Myrvona Arothan | tr
Mysal Golethys | tr
Naalsa Uvayn | tr
Naamalvu Erendi | tr
Nadara Llarvan | tr
Nadari Felas | tr
Nadene Drin | tr
Nadene Faryan | tr
Nadene Oril | tr
Nadene Rotheran | vanilla
Nadene Sarenyn | tr
Nahariba Mammat | tr
Nalami Veleth | vanilla
Nalara Alarys | tr
Nalasa Mandas | tr
Nalasa Sarothren | vanilla
Nalene Veleth | tr
Nalmila Thelas | vanilla
Nalneni Pernis | tr
Nalsie Farelas | tr
Nalsie Radas | vanilla
Nalsie Valen | tr
Nalvasa Verendas | tr
Nalvilie Saren | vanilla
Nalvyna Balen | tr
Nalvyna Sarinith | vanilla
Nalyna Guls | tr
Nammu Man-llu | vanilla
Nara Selos | tr
Naral Rethys | tr
Narasa Veren | tr
Naresa Arenim | tr
Narile Sadoro | vanilla
Narisa Radarys | tr
Narisa Releri | tr
Narsula Zuls | tr
Nartisa Verelas | tr
Nartise Arobar | vanilla
Naru Ouradas | tr
Narusea Verenim | tr
Naryu Rethendus | tr
Nataya Radasar | tr
Nathala Herendas | vanilla
Nathala Randaro | tr
Nathala Sebosi | tr
Nathyne Uvelas | vanilla
Natu Bessalabas | tr
Nauri Aramo | tr
Navena Arnethon | tr
Navrasa Girelith | tr
Nedeni Tenim | vanilla
Nedrasa Darvel | tr
Nehra Llarethi | tr
Nela Dervayn | tr
Nelara Vethraso | tr
Nelmyne Andules | vanilla
Nelmyne Athones | tr
Nelmyne Gavos | tr
Nelsi Releth | tr
Nelso Salenim | vanilla
Nelu Sorothren | tr
Nelvana Omathan | tr
Nelvana Salero | tr
Nelvasa Avel | tr
Nelyna Maren | tr
Nelyse Vavyn | tr
Neme Isilas | tr
Nemesa Driler | tr
Nemine Ildres | tr
Neramie Teloth | tr
Nerasa Veran | tr
Neremsi Sadavel | tr
Neresa Brenos | tr
Nerile Valyn | tr
Nerva Othram | tr
Nervana Verelas | vanilla
Neryn Radas | tr
Nethan Marys | tr
Nethiri Saris | tr
Nevama Ildam | tr
Nevama Ryon | tr
Nevena Ules | vanilla
Nevera Darano | tr
Nevera Dolthernul | tr
Neviri Dilnor | tr
Nevisa Lleran | tr
Nevrasa Dralor | vanilla
Nevrasa Drans | tr
Nevrasa Sadalas | tr
Nevrila Areloth | vanilla
Nevrila Hlarin | tr
Nevrile Omayn | tr
Nevusa Falen | tr
Nevusa Lakasyn | tr
Nevusa Lladri | tr
Nevusa Veleth | vanilla
Neyna Benethran | tr
Nibani Maesa | vanilla
Nibasa Othril | tr
Nida Ferandas | tr
Nidali Berendal | tr
Nidali Drom | tr
Nidara Beris | tr
Nidara Drelvi | tr
Nidara Herandus | vanilla
Nidasi Suram | tr
Nidrene Ulvir | tr
Nidrosu Llaren | tr
Nidryne Maveleth | tr
Nidryne Redas | vanilla
Nilara Tharam | tr
Nilena Othril | tr
Nileno Dorvayn | vanilla
Nileno Dralara | tr
Nilera Ieneth | vanilla
Niloru Ilvi | tr
Niluva Beni | tr
Nilvyn Drothan | vanilla
Nima Volsu | tr
Nina Nelaram | tr
Ninari Dorvayn | tr
Ninlaru Llemis | tr
Nira Uldram | tr
Nirai Ashishpalirdan | vanilla
Nirasa Aren | vanilla
Nirasa Dovolas | tr
Nireli Athelvis | tr
Nireli Farys | vanilla
Nireli Thindo | tr
Nirmeni Ieneth | tr
Nirmimmi Haserua | tr
Nirri Dorvayn | tr
Nirva Mensis | tr
Nirvusa Heran | tr
Nissirba Savani | tr
Nithri Marsur | tr
Nivama Relavel | tr
Nolar Balryn | tr
Noldrasi Bedas | vanilla
Norasa Thalor | tr
Norini Dalas | tr
Norisa Farays | tr
Norvali Gethran | tr
Norvyne Aloreth | tr
Nothasea Beni | vanilla
Nothasea Delvas | tr
Novosi Harethim | tr
Novrynea Falen | vanilla
Novrynea Serven | tr
Nuleno Nethri | tr
Nuleno Tedas | vanilla
Nulvese Telrith | tr
Nummu Assudiraplit | vanilla
Nurem Durthas | tr
Nurem Tenim | tr
Nureni Ildram | tr
Nuresa Varyon | tr
Nurise Uvalyn | tr
Nurisea Selarys | vanilla
Nuumu Lloth | tr
Nyra Sandil | tr
Odairah Folvyn | tr
Odala Urdo | tr
Oderu Volyndes | tr
Odesa Ralvadas | tr
Odrare Tyravel | tr
Odrasa Moren | tr
Odyna Velendas | tr
Olanasa Wenil | tr
Olemu Mitherin | tr
Olmise Adas | tr
Olmu Irathi | tr
Olmu Llendu | tr
Olvi Fedos | tr
Olvu Merethi | tr
Olvynu Drobar | tr
Omeri Drelas | tr
Omesu Hlarys | vanilla
Omesu Samalsi | tr
Omesu Varvol | tr
Ondru Halethran | tr
Onusea Reyas | tr
Orama Nidrem | tr
Orama Selmyn | tr
Orathu Bardyn | tr
Orero Omothan | vanilla
Oreyne Theru | tr
Orma Balur | tr
Ormira Salandys | tr
Orona Mandras | tr
Orvana Nirith | tr
Orvona Llendo | tr
Orvona Vadryon | vanilla
Orvona Zaris | tr
Ovaynel Mithryon | tr
Ovramie Heleran | tr
Ovrosa Valen | tr
Paalvu Brenur | tr
Palama Rivul | tr
Palavani Fedos | tr
Palen Surat | tr
Parena Avethyn | tr
Pavila Induvi | tr
Peleri Hlaalu | tr
Pelerin Tharonen | tr
Peria Minirath | tr
Peruvia Aden | tr
Perveni Idrith | tr
Pilu Eraitashpi | tr
Pilu Shilansour | vanilla
Pilu Telomas | tr
Pisca Vribs | tr
Polsirie Dalomo | tr
Radene Hlaalu | vanilla
Radine Sarano | tr
Radreru Uveleth | tr
Raishi Erarbadon | vanilla
Ralane Tholeno | tr
Ralani Danoran | tr
Ralasu Osun | tr
Raldenu Ieneth | vanilla
Raldresa Hlas | tr
Raldso Norvalo | tr
Ralis Andolith | tr
Ralsa Ondusi | tr
Ralsda Reloth | tr
Ralyne Noril | tr
Rami Fareleth | tr
Ramila Verothran | tr
Rana Thendrys | tr
Rani Vadryon | tr
Ranis Andren | tr
Ranis Arthyn | tr
Ranis Athrys | vanilla
Ranis Hlaalu | tr
Ranosa Gilvayn | vanilla
Ranosa Orrels | tr
Rantela Irenam | tr
Ranyna Hlaalu | tr
Rara Hela | tr
Raransi Silveth | tr
Rarasare Rindo | tr
Rarasare Temeris | tr
Rarayne Sadri | tr
Rarunsi Tervthi | tr
Rarusu Berethi | vanilla
Rarusu Berothran | tr
Rarvela Malvani | tr
Rarvela Ramaran | tr
Rarvela Teran | vanilla
Rarvena Andothan | tr
Rasamsi Esurarnat | vanilla
Rasea Helvi | tr
Rathasa Sendu | tr
Rathera Amuno | tr
Rathyne Helvi | tr
Rathyne Ienith | tr
Rathyne Thirano | vanilla
Ratura Reyas | tr
Ravaynis Nelari | tr
Ravek Lloren | tr
Ravela Moran | tr
Raven Omayn | vanilla
Ravenni Ilneram | tr
Ravila Uvani | tr
Ravisa Othreloth | tr
Ravoso Aryon | vanilla
Ravur Othravel | tr
Rawia Ashirbibi | vanilla
Rayenaye Hler | tr
Rayna Drolan | vanilla
Raynasa Famori | tr
Raynasa Rethan | vanilla
Raynil Vando | tr
Raynila Aryon | vanilla
Raynila Indrano | tr
Redoran Watchman | tr
Relamu Ulom | vanilla
Relasa Salen | tr
Relave Gilvani | tr
Relave Rethrend | tr
Releniah Dren | tr
Relenu Drolan | tr
Relma Sarys | tr
Relmeria Drados | tr
Relosa Tharyon | vanilla
Relosa Thelis | tr
Relsa Sereloth | tr
Relvana Andaren | tr
Relvese Velni | vanilla
Relvina Llaren | tr
Relyni Athones | tr
Remasa Othril | vanilla
Renesa Serin | tr
Renilsa Narvul | tr
Rerilie Llandu | vanilla
Rervale Tobor | tr
Reryna Dilvasel | tr
Rerynea Salas | vanilla
Resnen Tharys | tr
Rethana Ornys | tr
Rethen Ilodril | tr
Rethes Hleran | tr
Revea Telam | tr
Revia Gothan | tr
Revun Orelo | tr
Reynel Uvirith | vanilla
Ridena Othren | vanilla
Ridinna Deroth | tr
Riina Baldan | tr
Rila Uvulas | tr
Rilam Arelas | tr
Rilasi Ralvayn | vanilla
Rilasi Terenoth | tr
Rilayna Olvas | tr
Rilms Adrasi | tr
Riltse Helandil | tr
Riluva Sovoras | tr
Rilvase Avani | vanilla
Rimusa Reladren | tr
Rinori Bales | tr
Rinori Edalas | tr
Rinori Ienith | vanilla
Rinoru Llar | tr
Riraynea Omayn | tr
Riraynea Reladren | vanilla
Rithin Helvas | tr
Rithre Arsur | tr
Rithri Samori | tr
Rivosa Ovam | tr
Rolasa Lladri | tr
Rolasa Oren | vanilla
Rolasa Serethi | tr
Rolasa Volno | tr
Rolave Arendus | tr
Rormeni Deltis | tr
Roryna Hela | tr
Rothera Galdavo | tr
Rothyn Adano | tr
Rudrasa Farothran | tr
Rumare Tervu | tr
Rumila Sarinith | tr
Runethyne Andas | vanilla
Rusu Dredayn | tr
Ruthrisa Velothren | tr
Ruthrisu Andoril | vanilla
Ruthrisu Llarvys | tr
Ruvali Areleth | tr
Ruvene Falvanys | tr
Ruvene Ienith | tr
Ruvene Ulven | vanilla
Rylara Karaleth | tr
Rynna Tunelim | tr
Sadal Doren | vanilla
Sadali Areth | tr
Sadali Rothril | tr
Sadayna Nerano | tr
Sadela Areth | vanilla
Sadela Bethalas | tr
Sadela Madryon | tr
Sadela Othrenim | tr
Sadreru Hladri | tr
Salama Andrethi | vanilla
Salaru Andalen | tr
Saldeni Andralor | tr
Salderi Dalvor | tr
Saldynu Vonsi | tr
Salima Deralas | tr
Salmaru Rathryon | tr
Salni Othrith | tr
Salora Salobar | vanilla
Salora Thirothan | tr
Salse Girani | tr
Salume Nethril | tr
Salva Arovyn | tr
Salvela Dothan | tr
Salvere Erendi | tr
Salvi Moril | tr
Salvura Dalvani | tr
Salvura Nethil | tr
Salyni Aravel | tr
Salyni Morusu | tr
Salyni Nelvayn | vanilla
Samase Larethi | tr
Samsi Adranibaal | tr
Samsi Ulannanit | vanilla
Samtri Uvayn | tr
Sani Edralo | tr
Santinti Assarbeberib | vanilla
Sarasa Relethan | tr
Saraso Hlaano | tr
Sarchyl Santharan | tr
Sareru Samori | tr
Saretha Andothan | tr
Saretha Sethandas | tr
Saria Aanen | tr
Saril Velani | tr
Sarith Everos | tr
Saritha Hlaalu | tr
Saruse Hloran | vanilla
Sarvenu Falas | tr
Sarvynu Ramaran | tr
Satha Sarano | tr
Sathasa Andas | tr
Sathasa Nerothren | vanilla
Sathasa Telnith | tr
Satheri Dralam | tr
Satheri Indaram | tr
Satheri Rothandus | vanilla
Satheri Vilas | tr
Satra Beran | tr
Satra Favano | tr
Satyana Fels | tr
Savela Serothan | tr
Savesa Valno | tr
Savesea Belaal | tr
Savesea Mothryon | vanilla
Savi Selendas | tr
Savile Imayn | vanilla
Savile Tedalen | tr
Savina Llaren | tr
Savissi Helan | tr
Savri Hlervu | tr
Seba Anurnudai | vanilla
Sedri Endavel | tr
Sedris Omalen | vanilla
Sedyni Veran | vanilla
Selari Danaran | tr
Selari Elval | tr
Selari Orenim | tr
Seleni Goren | tr
Seleni Tomen | tr
Selhro Nilalu | tr
Selni Aduran | tr
Selveni Teloth | tr
Selvura Andrano | vanilla
Selvura Indosi | tr
Selvura Ireni | tr
Sena Davus | tr
Senera Tarethi | tr
Seni Veran | tr
Senipli Babal | tr
Senise Thendas | tr
Senise Thindo | vanilla
Senise Uvalen | tr
Sera Bavan | tr
Serali Beralam | tr
Seram Eros | tr
Seran Dreth | tr
Seresa Maanith | tr
Serila Arval | vanilla
Serila Othren | tr
Serila Vendil | tr
Serilna Othren | tr
Seris Athyon | tr
Sernsi Drelas | vanilla
Sernsi Hlaren | tr
Serra Ravyn | tr
Servyna Othrys | tr
Seryn Lloth | tr
Seryne Relas | vanilla
Seryne Vedrethi | tr
Sethesi Adas | vanilla
Sethesi Gilveni | tr
Setisa Dorenil | tr
Sevame Saryon | vanilla
Sevila Ores | tr
Sevilse Adrano | tr
Sevisa Teran | vanilla
Sevra Andules | tr
Sevyni Saryon | vanilla
Seyne Betharvel | tr
Seyne Hlan | tr
Seyrena Rayveth | tr
Shalaasa Samane | tr
Shalath Abkala | tr
Shali Assannabalit | vanilla
Shali Erethi | tr
Shara Atinsabia | vanilla
Shara Mantiti | tr
Sharipu Palirdan | tr
Sharis Nughil | tr
Shinammu Radansour | vanilla
Shishi Yanumibaal | vanilla
Shulki Ashunbabi | vanilla
Shullay Vabdas | vanilla
Shuni Elikayerit | tr
Sidene Farys | tr
Sidia Uveleth | tr
Sigillah Parate | tr
Silasi Othan | tr
Silrin Telras | tr
Silusi Neveril | tr
Silvani Tenath | tr
Silveni Harum | tr
Silvenie Nethril | tr
Silvu Barethi | tr
Silvura Nemine | tr
Simine Turethi | tr
Sinnammu Mirpal | vanilla
Sirari Adras | tr
Siriele Nathryon | tr
Sirilu Nervion | tr
Sodramu Lliryn | tr
Sodrara Andalas | vanilla
Sodrara Asinbabia | tr
Sodrara Idrosam | tr
Sodreru Hlaalu | tr
Sodril Salobar | tr
Solamis Gerthas | tr
Solas Athyrion | tr
Sondryn Irathi | vanilla
Sonummu Zabamat | vanilla
Sorosi Radobar | vanilla
Sorosi Ulvel | tr
Sorvolo Thelns | tr
Sova Suth | tr
Sovali Uvayn | vanilla
Soves Oran | tr
Sovisa Adas | vanilla
Sovisa Othran | tr
Sovisu Redoril | tr
Sudru Duloth | tr
Sulada Syrivis | tr
Suldreni Ulom | tr
Suldrini Fadrys | tr
Suldyn Andrano | tr
Suleni Relvi | tr
Suleru Horavel | tr
Sulsi Tedran | tr
Suran Nemsi | tr
Surilie Denas | tr
Surol Volayn | tr
Suroni Relenim | tr
Surshanabi Hluvur | tr
Sursi Gimayn | tr
Suvala Beran | tr
Synda Telleno | tr
Synda Urdasa | tr
Taala Voronethri | tr
Tadali Tistar | tr
Tadali Udulas | tr
Tadara Indaram | vanilla
Tadara Salosi | tr
Taelu Nadrys | tr
Takur-Zua Obusel | tr
Talali Hloril | tr
Talama Vandram | tr
Talamu Sethandas | vanilla
Talare Arvel | vanilla
Talare Orelu | tr
Talari Dulath | tr
Talaru Gelvendu | tr
Taldasi Menguren | tr
Talire Mirel | tr
Talmeni Drethan | vanilla
Talmeni Omothran | tr
Talmsa Falas | vanilla
Talmsa Ralaal | tr
Talna Llervu | tr
Talnesa Dilvasel | tr
Talsi Envano | tr
Talsi Sarys | tr
Talsi Uvayn | vanilla
Talsi Valmoren | tr
Talsyne Dalomo | tr
Taluri Rothalor | vanilla
Taluri Ulen | tr
Taluro Athren | vanilla
Taluro Nerathal | tr
Talvisa Parate | tr
Tamira Vian | vanilla
Tamynu Farays | tr
Tanar Llervi | vanilla
Tanasa Raran | tr
Tandasea Salas | vanilla
Tanisa Balarys | tr
Tanisie Verethi | vanilla
Tanusea Veloth | vanilla
Tanvana Amori | tr
Tarani Adrys | tr
Tarani Dralno | vanilla
Taris Temeris | tr
Tarisa Gavethi | tr
Tarsa Gindal | tr
Taryneth Faras | tr
Tashori Abzebal | tr
Tashpi Ashibael | vanilla
Taviah Uvel | tr
Tavilu Llervu | tr
Tavilu Moren | vanilla
Tavura Mervu | tr
Tavylu Ilvi | tr
Tavynu Tedran | vanilla
Tebrisa Viri | tr
Tedyne Llarom | tr
Tedyne Omoran | tr
Tedysa Andarys | vanilla
Telare Evos | tr
Teldori Malreni | tr
Telera Parys | tr
Teleri Helvi | vanilla
Teleri Selos | tr
Telsi Thendas | tr
Telura Moran | tr
Telura Ulver | vanilla
Temrio Indrys | tr
Temu Llanit | tr
Tenara Sarem | tr
Tenaru Romoren | vanilla
Tenaru Sadri | tr
Tendreni Bradyn | tr
Tendreni Narad | tr
Tenisi Balvel | tr
Tenisi Lladri | vanilla
Tenisi Mundrethi | tr
Tenyara Sulereth | tr
Terani Deroth | tr
Teranya Hlen | tr
Teratha Salveth | tr
Terenu Aryon | tr
Terenu Uveran | vanilla
Terenu Veniroth | tr
Tereri Irethi | vanilla
Teril Savani | vanilla
Terlesi Othralas | tr
Ternu Radathren | tr
Teruise Girvayne | vanilla
Teryne Hlaalu | vanilla
Terysa Dalvilu | tr
Terythu Ladrys | tr
Tevol Madalas | tr
Tevri Utheril | tr
Tevynu Omalor | tr
Thalasa Revulas | tr
Thalin Marendi | tr
Thalin Thimalvel | tr
Thalurea Belas | tr
Thalurea Thirvayn | vanilla
Tharise Erolan | tr
Thavere Edalvel | tr
Thavere Vedrano | vanilla
Thelama Indalas | vanilla
Thelama Indaren | vanilla
Thelama Salandys | tr
Thelara Tallas | tr
Thelasa Reram | tr
Thelsa Dral | vanilla
Thelsa Meran | tr
Thelura Ginith | tr
Thelvamu Sarano | vanilla
Thelvamu Sendrul | tr
Theneria Vanil | tr
Theruse Drals | tr
Thilse Aralas | vanilla
Thilsera Gilenim | tr
Thira Melno | tr
Thirethi Adren | tr
Tholvira Llervas | tr
Thovasi Alen | vanilla
Thulava Anethonis | tr
Thurise Helothras | tr
Thurisea Thando | vanilla
Tilara Danar | tr
Tilena Doren | tr
Tilena Thalor | vanilla
Tilenra Faryon | tr
Tilenu Andis | tr
Tilesa Fadathram | tr
Tilisu Kelarven | tr
Tilmari Ovelas | tr
Tilme Sevenas | tr
Tilore Andrethi | vanilla
Tilse Marvayn | tr
Tilsera Vuleyn | tr
Tilsura Ules | tr
Tilvala Hlaalo | tr
Tilveran Athere | tr
Tinaso Alan | vanilla
Tinaso Sadus | tr
