# Dark Elf Male NPCs
# Format: Firstname Lastname | source (vanilla or tr)

Felthis Arvel | tr
Felvan Felder | tr
Felvas Thireloth | tr
Felven Evas | tr
Felvos Droryn | vanilla
Felvos Nelenim | tr
Felvyn Faryon | tr
Femas Llaren | tr
Femer Veralor | vanilla
Fendas Rallan | tr
Fendel Alam | vanilla
Fendel Hlaren | vanilla
Fendel Moryn | tr
Fendel Omani | tr
Fendros Varys | vanilla
Fendryn Delvi | vanilla
Fendrys Norvalo | tr
Fenryth Maren | tr
Fenthis Gilaram | tr
Fenus Talaron | tr
Feran Balys | tr
Feravil Meran | tr
Ferele Athram | vanilla
Ferelis Zeran | tr
Feril Balur | tr
Feril Gothari | tr
Feril Rondas | tr
Ferin Gathi | tr
Fernil Yantus | tr
Ferthas Merils | tr
Feruren Oran | vanilla
Ferus Tevothar | tr
Feruthe Ienin | tr
Fervas Dalobar | tr
Fervas Lledro | tr
Fervas Reloro | vanilla
Feryn Andules | tr
Fethis Athemiran | tr
Fethus Llaram | tr
Fevele Senyon | tr
Fevras Beran | tr
Fevris Senoril | vanilla
Fevryl Falvani | tr
Fevus Aryon | vanilla
Fevus Hedoren | tr
Fevus Randal | tr
Fevyn Ralen | vanilla
Fevyn Sarem | tr
Fevyn Verethi | tr
Finlan Amas | tr
Firolen Ervanys | tr
Fleves Rodran | tr
Folayn Ores | tr
Folms Arano | tr
Folms Baryon | tr
Folms Hiralas | tr
Folms Mirel | vanilla
Folms Omaren | tr
Folms Salaren | tr
Folms Tenim | tr
Folms Teran | tr
Folms Terians | tr
Foloros Rothren | tr
Folves Herethran | tr
Folvys Andalor | vanilla
Folvys Hlaalu | tr
Folvys Uvalor | tr
Folyni Beroth | tr
Folyni Dran | vanilla
Foms Veleth | tr
Fonari Othrenim | tr
Fondil Arstam | tr
Fondryn Nithryon | tr
Fons Brenur | tr
Fonus Rathryon | vanilla
Fonvyn Balen | tr
Foras Indaren | tr
Foren Beldo | tr
Forvan Tharys | tr
Forvyn Vedron | tr
Foryn Gilnith | vanilla
Fothas Bradyn | tr
Fothas Thirandus | vanilla
Fothil Aralas | tr
Fothras Vorom | tr
Fovas Valaai | tr
Foves Arenim | vanilla
Fovus Faravel | vanilla
Fovus Selaro | tr
Fralos Hlerothi | tr
Frathen Armuno | tr
Furen Hilneth | tr
Furen Hlavel | tr
Furon Rilvayn | tr
Fusath Relyan | tr
Gadam Tiren | tr
Gadave Sethan | tr
Gadaves Arendus | tr
Gadaves Drom | tr
Gadaves Salvani | tr
Gadavyne Farys | tr
Gadayn Andarys | vanilla
Gaden Folvyn | vanilla
Gaden Llarys | vanilla
Gaernol Mendis | tr
Galam Llendu | vanilla
Galam Telas | tr
Galar Baren | vanilla
Galar Radarys | tr
Galar Rothan | vanilla
Galar Saloren | tr
Galdarys Alen | tr
Galdayne Elmindu | tr
Galdres Beran | tr
Galdres Ienith | vanilla
Galdris Sero | tr
Galdrys Benith | tr
Galen Berer | vanilla
Galen Galren | tr
Galen Llendu | tr
Galen Norvayn | tr
Galen the Pilgrim | tr
Galer Hluvur | tr
Gales Bareleth | tr
Galeth Oreynil | tr
Gali Therinyth | tr
Galin Arvethu | tr
Galis Delath | tr
Galis Seleth | vanilla
Galis Urvyon | tr
Galmas Nerendus | tr
Galmis Dren | vanilla
Galmis Teral | tr
Galms Ovalyn | tr
Galom Ules | tr
Galor Farano | tr
Galoro Sevlor | tr
Galos Farethi | vanilla
Galos Mathendis | vanilla
Galos Melran | tr
Galran Darvu | tr
Gals Arethi | vanilla
Gals Nothor | tr
Galtis Guvron | vanilla
Galtis Llarvayn | tr
Galtis Serethi | vanilla
Galvs Thalren | tr
Galvur Irano | tr
Galvyn Raloran | tr
Gamin Feroth | tr
Gamon Urano | tr
Gamras Silni | tr
Ganalis Droryn | tr
Ganalyn Saram | vanilla
Gandas Maluvi | tr
Ganor Relnim | tr
Ganus Lloryn | vanilla
Ganus Omathan | tr
Garas Diren | tr
Garas Furam | tr
Garas Orenim | tr
Garen Malar | tr
Garen Veloth | tr
Garer Danoran | vanilla
Garer Llenas | tr
Garer Omarys | tr
Garer Rothril | tr
Garil Barayn | tr
Garis Llanith | tr
Garis Marsal | tr
Garisa Llethri | vanilla
Garnas Mano | tr
Garnas Verano | tr
Garnos Otheril | tr
Garo Varsel | tr
Garon Thiralas | tr
Garus Savrethi | tr
Garven Arys | tr
Garvs Adram | tr
Garvs Anrayn | tr
Garvs Ovav | tr
Garvs Ramarys | vanilla
Garvs Sethandas | tr
Garvyn Erendi | tr
Garyl Ursath | tr
Garyn Girith | vanilla
Garys Drolern | tr
Garyth Falvanis | tr
Gathal Arys | tr
Gathal Llethri | vanilla
Gathar Narthil | tr
Gathar Virian | tr
Gathil Gone-in-the-Head | tr
Gathis Alasian | tr
Gathys Daromar | tr
Gavas Delath | tr
Gavas Erethi | tr
Gavas Hlvaren | tr
Gavas Salerys | tr
Gavat Redam | tr
Gavesu Arelas | vanilla
Gavls Salothran | tr
Gavo Borovel | tr
Gavorn Llanse | tr
Gavros Falas | tr
Gavryn Elval | tr
Gedhan Vendu | tr
Gedras Relvi | tr
Geldis Dronym | tr
Gelds Daral | tr
Gelres Dolthernul | tr
Geras Solvin | tr
Geril Uvel | tr
Geron Salaren | tr
Geroth Enlaris | tr
Geryth Seles | tr
Gethan Lloren | tr
Gethan Vandus | tr
Gethis Raviro | tr
Ghernn Rithrin | tr
Gibael Manallit | tr
Gidain Verayn | tr
Gidar Terval | tr
Gidave Vendal | tr
Gidaves Vari | tr
Giden Nelvilo | vanilla
Gidren Sandolas | tr
Gilan Daynes | vanilla
Gilan Savani | tr
Gilan Vando | tr
Gilar Drelan | tr
Gilar Verelnim | tr
Gilas Indalor | tr
Gilas Inlador | vanilla
Gilas Llervu | vanilla
Gilas Seras | tr
Gilasi Rothari | tr
Gildaves Nerethi | tr
Gilden Salas | tr
Gildran Dovolas | tr
Gilen Indothan | tr
Gilen Malvayn | tr
Gillas Aneroth | tr
Gillas Llarethi | tr
Gilmaso Olthan | tr
Gilmyn Andrilo | vanilla
Gilmyn Dredil | tr
Gilmyn Othravel | tr
Giln Ullor | tr
Gilnam Arendes | tr
Gilner Herano | tr
Gilnur Nolar | tr
Gils Drelas | vanilla
Gils Oril | vanilla
Gils Veran | tr
Gilur Belvayn | tr
Gilur Hloril | tr
Gilvas Barelo | vanilla
Gilvas Thelaro | tr
Gilvero Llen | tr
Gilvur Uvelen | tr
Gilyan Sedas | vanilla
Gilyn Drobar | vanilla
Gilyn Terendas | tr
Gilyne Omoren | vanilla
Gindas Drobar | tr
Gindas Ildram | vanilla
Gindras Driler | tr
Ginur Dolvi | tr
Ginur Marys | vanilla
Ginur Panai | tr
Ginyan Tarys | tr
Giras Indaram | vanilla
Giras Saryon | tr
Girdos Urys | tr
Giren Avilo | vanilla
Girevos Irena | tr
Giril Marendi | tr
Giron Manas | vanilla
Giron Rathal | tr
Giryn Nirith | vanilla
Girynu Rathryon | tr
Githrin Adus | tr
Givran Surdethru | tr
Givryn Hluran | tr
Golam Danoran | tr
Golam Dunebisun | tr
Golar Omoran | vanilla
Goldyn Belaram | vanilla
Goler Andrethi | vanilla
Goler Mervas | tr
Goler Ralvayn | tr
Goler Urano | tr
Goleth Iniriam | tr
Golro Madavel | tr
Gols Drerith | tr
Gols Farethan | tr
Gols Nilvon | vanilla
Gols Omalen | tr
Gols Orenim | tr
Gols Sarinith | tr
Gols Sevlor | tr
Gols Ulven | tr
Gols Vandus | tr
Golven Hleran | vanilla
Golven Salothan | tr
Golveso Darys | tr
Golvor Ilvi | tr
Golvor Nethes | tr
Golvs Varyn | tr
Golvyn Ieneth | tr
Golvyn Saryon | tr
Golvyr Marvos | tr
Golyn Sedrethi | tr
Golyn Volor | tr
Goralas Baram | tr
Goralas Nilvon | tr
Goralas Uren | tr
Goras Andrelo | vanilla
Goras Llarynth | tr
Goras Rayveth | tr
Goras Tarven | tr
Goras Uveleth | tr
Gordol the Scrivener | tr
Goren Andarys | vanilla
Goren Daranith | tr
Goris Salaron | tr
Goris the Maggot King | vanilla
Goron Lleran | vanilla
Gorthas Llerthu | tr
Gorthas Marimannu | tr
Gorven Herethi | tr
Gorvur Menas | tr
Gorvyn Verobar | tr
Goryn Fels | tr
Gothran Vedas | tr
Gothyr Rivaal | tr
Goval Bareleth | tr
Goval Thadus | tr
Goves Liran | tr
Govyth Fadras | tr
Gragus Lleran | vanilla
Gralos Sethandas | tr
Grand Inquisitor | vanilla
Gulael Timys | tr
Gulen Belaram | tr
Gulmadar Alvel | tr
Gulmon Nerandas | tr
Gulmon Nulen | tr
Guls Hloran | tr
Guls Llervu | vanilla
Guls Maneth | tr
Guls Sadryon | tr
Gulyn Indosi | tr
Guril Retheran | vanilla
Guril Vandus | tr
Guvon Telomas | tr
Haanit Girethi | tr
Habys Ulannanit | tr
Hainab Lasamsi | vanilla
Hairikat Pabsi | tr
Halsoth Ernevi | tr
Hamasour Yabamat | tr
Han Sadalvel | tr
Hannabi Othralen | tr
Hannat Zainsubani | vanilla
Haran Andruthi | tr
Hasabantus Kels | tr
Hassour Zainsubani | vanilla
Hemas Vulym | tr
Hemus Saddarnuran | tr
Hemus Zelma-Alit | vanilla
Hentus Dralno | tr
Hentus Malen | tr
Hentus Yansurnummu | vanilla
Heran Llothar | tr
Heris Heran | tr
Hervil Aren | tr
Hervil Dolomas | tr
Hestareth Sadryon | tr
Hetman Abelmawia | vanilla
Hetman Adarys | tr
Hetman Drivam | tr
Hetman Drothril | tr
Hetman Duril | tr
Hetman Guls | vanilla
Hetman Llemu | tr
Hetman Merevu | tr
Hetman Netharil | tr
Hetman Nithri | tr
Hetman Valen | tr
Hetman Varo | tr
Hiath Marano | tr
Hibaddar Ilath-Pal | vanilla
Hibdun Senatmiran | tr
Hileth Udar | tr
Himsa Apris | tr
Hinammu Eraishah | tr
Hinammu Shishara | vanilla
Hindus Othram | tr
Hinon Meraram | tr
Hiramas Merthu | tr
Hired Killer | tr
Hirend Fothren | tr
Hizam Aneroth | tr
Hlaals Helseri | tr
Hlanas Arthalen | tr
Hlar Gavis | tr
Hlarayn Radas | tr
Hlaren Indel | tr
Hlaren Ramoran | vanilla
Hlaren Sandus | tr
Hlaro Idren | tr
Hlaroi Faryon | vanilla
Hlarur Galan | tr
Hlarven Berend | tr
Hlarvys Duren | tr
Hlaryn Danvon | tr
Hlavesa Llenim | tr
Hleder Othreles | tr
Hlederys Marothran | tr
Hledris Llorandas | tr
Hlenil Neladren | vanilla
Hlenil Saravyne | tr
Hlenir Seralis | tr
Hleras Gidran | vanilla
Hleras Selaro | tr
Hleril Rotherys | tr
Hles Vervul | tr
Hlethran Androsi | tr
Hlevan Harvano | tr
Hlevis Relnim | tr
Hlor Gonav | tr
Hloren Ralaal | tr
Hloris Eldri | tr
Hloris Farano | vanilla
Hloris Othralas | tr
Hloris Savel | tr
Honon Falas | tr
Hormar Ahammudad | tr
Hort Ledd | vanilla
Hulanis Yurel | tr
Hulen Faravel | tr
Huvil Garvon | tr
Iamos Lladrys | tr
Ibarnadad Assirnarari | vanilla
Ibasour Sershurrapal | vanilla
Idav Theryn | tr
Idras Berendus | tr
Idredhel Ashibael | tr
Idriso Venalis | tr
Idros Givyn | vanilla
Idros Llothri | tr
Idros Rothrano | tr
Idryn Vorethi | tr
Idrys Aralms | tr
Idyn Ramori | tr
Ieme Rethri | tr
Ienaras Velothril | tr
Ienas Nadus | vanilla
Ienas Nithryon | tr
Ienas Sarandas | vanilla
Ienas Tharam | tr
Ienas Urelen | tr
Ienen Salothran | tr
Ienen Salvu | tr
Ilar Reldam | tr
Ilasour Tansumiran | vanilla
Ildave Sarayn | tr
Ildel Nothran | tr
Ildos Hleran | tr
Ildos Rothren | vanilla
Ildos Seles | tr
Ildos Ulven | tr
Ildos Vando | tr
Ildros Furam | tr
Ildros Gilnith | tr
Iledas Arnem | tr
Ilem Sulendes | tr
Ilen Faveran | vanilla
Ilen Midaan | tr
Ilet Mavandes | tr
Ilet Tistar | vanilla
Ilev Barayn | tr
Illor Mavos | tr
Ils Veralor | tr
Ilu Ashumallit | tr
Iluryn Sadrano | tr
Ilvas Belvayn | tr
Ilvas Gindu | tr
Ilvel Mundrethi | tr
Ilvel Varyoni | tr
Ilver Aralas | vanilla
Ilver Dals | tr
Ilveroth Ulneth | tr
Ilvor Telnis | tr
Ilvrin Hlaalu | tr
Ilvys Hleeri | tr
Imenas Llothril | tr
Inaras Hahnim | tr
Inaras Nervil | tr
Indaryn Beras | tr
Indas Relvenim | tr
Indoril Balver | tr
Indoril Ilvi | tr
Indoril Indalas | tr
Indoril Sandil | tr
Indrys Norvayn | tr
Iner Maren | tr
Iner Raledran | vanilla
Inerves Thaar | tr
Iralmil Selvo | tr
Iranas Voronethri | tr
Irason Vareleth | tr
Iraynith Uvayn | tr
Irelav Torvel | tr
Irello Hardil | tr
Irelo Dalmar | tr
Irenos Uvelen | tr
Irer Golathyn | tr
Irer Nervion | vanilla
Irvar Dundras | tr
Irvas Belvayn | tr
Irver Fevur | vanilla
Irvir Garvon | tr
Irvym Sadril | tr
Ithis Llaren | tr
Ithis Randaro | tr
Ivalaes Llethan | tr
Ivalaes Thelvil | tr
Ivon Seloth | tr
Ivul Hleryn | tr
Jalir Vonis | tr
Jalor Indo | tr
Jaril Irmelas | tr
Jarvas Nerethran | tr
Jebas Edryn | tr
Jelyn Indo | tr
Jena Arelat | tr
Jerelun Bathys | tr
Jernialin Sarethi | tr
Jinar Kammu | tr
Jiubbaes Berendas | tr
Jivor Voloth | tr
Jolib Llar | tr
Jorvys Buro | tr
Jubal Ervano | tr
Jubal Orda | tr
Jubesil Dalvilu | tr
Juvol Andres | tr
Juvol Gols | tr
Kammus Uvayn | tr
Kanat Assalatammis | vanilla
Kanin Llervas | tr
Kanit Niladon | vanilla
Kanud Odimabesser | vanilla
Kanud Yansurnummu | tr
Kareth Dalomo | tr
Kareth Helni | tr
Karik Saravil | tr
Karthin Saril | tr
Karthor Halas | tr
Karys Uthlan | tr
Kashtes Ilabael | vanilla
Kauramus Besseral | tr
Kerdan Temerin | tr
Khardo Tasak | tr
Kiliban Samarys | tr
Kind Erushara | vanilla
Kiner-Ilu Ubasel | tr
Kitbael Assurnumanit | vanilla
Kobin Delas | tr
Kovan Davethi | tr
Kovan Ralethran | tr
Kovan Thilandas | tr
Krilan Uvandrys | tr
Kummi-Namus Almu | vanilla
Kund Assarnibani | vanilla
Kuvat Ummanu | tr
Lagryn Darys | tr
Lamus Girand | tr
Larvs Dalori | tr
Larys Beleth | tr
Lassour Zenammu | vanilla
Lenaru Tolsen | tr
Lenel Hloran | tr
Leram Orlano | tr
Lethrin Goles | tr
Lethys Mundrethi | tr
Lieutenant Nelos Seleno | tr
Liras Girano | tr
Liras Mareluth | tr
Lirtis Ildram | tr
Llaalam Dredil | vanilla
Llaalam Madalas | vanilla
Llaalam Tharen | tr
Llaalam Voron | tr
Llaals Dredil | tr
Llaals Ores | vanilla
Llaals Sathrobar | tr
Llaals Vules | tr
Llaavs Morthyn | tr
Lladas Varayne | tr
Lladres Sadreno | tr
Llaerusi Varith | tr
Llamaris Thirith | tr
Llanas Drilvi | vanilla
Llandas Thiralas | tr
Llandras Andus | tr
Llandras Aretheno | tr
Llandras Belaal | vanilla
Llandras Dilvasel | tr
Llandris Thirandus | vanilla
Llandris Uveran | tr
Llandris Vendril | tr
Llanel Adrano | tr
Llanel Brenos | vanilla
Llanel Lathoril | tr
Llanis Falvel | tr
Llano Omobar | tr
Llarar Bereloth | vanilla
Llareas Samori | tr
Llarel Llenim | vanilla
Llaren Arns | tr
Llaren Heryon | tr
Llaren Ilvi | tr
Llaren Terano | vanilla
Llaro Llethri | vanilla
Llaro Mandus | tr
Llaro Veloren | tr
Llaron Randaro | tr
Llaros Beralam | tr
Llaros Sadas | tr
Llaros Samalsi | tr
Llastis Sedri | tr
Llathros Edri | tr
Llathyn Drobar | tr
Llathys Sarothran | tr
Llavam Adas | vanilla
Llavam Delvarrapal | tr
Llavam Saldro | tr
Llavorn Berelan | tr
Llavul Salys | tr
Llavvul Rivaal | tr
Llayno Erendi | tr
Llayno Indalas | tr
Llayno Mendraso | tr
Llaynor Seryon | tr
Llenus Henim | tr
Llenus Rendar | tr
Lleran Andoril | vanilla
Llerar Arantamo | tr
Llerar Arenim | tr
Llerar Mandas | vanilla
Llerar Valaai | tr
Llerar Vinden | vanilla
Lleras Andalen | vanilla
Llerav Mernam | tr
Lleres Sarando | tr
Lleril Alvor | tr
Lleris Adram | tr
Lleris Dalmar | tr
Lleris Rathryon | vanilla
Llero Lloran | vanilla
Llero Sadryon | tr
Lleros Drothan | tr
Llerthas Maril | tr
Llether Sadras | tr
Llether Vari | vanilla
Llethnen Indri | tr
Llethran Narad | tr
Llethresa Maliake | tr
Llevan Supai | tr
Llevas Fels | vanilla
Llevas Forothram | tr
Llevas Uvalor | tr
Llevel Andoris | tr
Llevel Seri | vanilla
Lliram Alvor | vanilla
Lliros Oldal | tr
Lliros Tures | vanilla
Lliryn Fendyn | vanilla
Llivam Seleth | tr
Llivlo Indalen | tr
Llodas Drobar | tr
Lloden Dadrys | tr
Lloden Tenim | vanilla
Llonas Felder | vanilla
Llonas Neredras | tr
Llonas Omani | tr
Llonas Ondyn | tr
Llondryn Hlaalo | vanilla
Lloras Nelvel | tr
Lloris Gilnam | tr
Lloris Saldro | tr
Lloris Serin | tr
Lloros Alvor | tr
Lloros Farethi | tr
Lloros Sarano | vanilla
Llorris Vull | tr
Lloryn Dredil | tr
Lloryn Llaram | tr
Llos Indareth | tr
Llothis Dralor | tr
Llothros Ildin | tr
Llovyn Andus | vanilla
Llovyn Farelas | tr
Llovys Rethendus | tr
Loen Doldal | tr
Loryvn Radus | tr
Madan Serimilk | tr
Madel Vathri | tr
Madragas Renil | tr
Madran Ulvel | vanilla
Madras Atharon | tr
Madres Navur | vanilla
Madril Berend | tr
Madrus Vedrano | tr
Madryn Nerathal | tr
Madsu Dreth | vanilla
Maeonius Man-llu | vanilla
Maeonius Yentimilal | vanilla
Maerbek Alilu | tr
Maesat Shinirbael | vanilla
Mal Mibishanit | vanilla
Maladas Helas | tr
Maladel Helni | tr
Malan Folvyn | tr
Malay Ranarbatus | vanilla
Maldos Drolnor | tr
Maldrys Torven | tr
Maldus Faren | tr
Maldus Sendrul | tr
Maler Salas | tr
Malius Travon | tr
Malkur Raran | tr
Mallam Malvanys | tr
Mallam Ryon | vanilla
Mallas Rothrano | tr
Malmas Habattu | tr
Mals Faralen | vanilla
Mals Telnis | tr
Maluc Orethi | tr
Malur-Pal Yahaz | tr
Malvas Drurel | tr
Malvas Relvani | tr
Malven Duris | tr
Malven Irith | tr
Malvyn Tinur | tr
Malvys Nethrelas | tr
Malyn Rethrend | tr
Mamnus Falas | tr
Manat Shimmabadas | vanilla
Manat Varnan-Adda | vanilla
Mandaras Savrethi | tr
Mandran Indrano | vanilla
Mandran Rivaal | tr
Mandur Omalen | vanilla
Mandyn Ralas | vanilla
Mandyn Salvel | tr
Manel Amori | vanilla
Maner Uvaren | vanilla
Manes Ordinudon | tr
Manolos Daram | tr
Manos Dren | tr
Manos Othreleth | vanilla
Manos Vavyn | vanilla
Mansilamat Vabdas | vanilla
Manyn Llando | tr
Marahat Tarsam | tr
Maran Selvilo | tr
Marathys Merethi | tr
Marayn Dren | vanilla
Marayn Vendalas | tr
Maren Dalvas | tr
Maren Nemreth | tr
Maren Othrenim | tr
Maril Bavani | tr
Maril Dalobar | tr
Marin Tabas | tr
Marin Thelaro | tr
Maris Drinivam | tr
Marolos Llendo | tr
Maros Gimayn | vanilla
Maros Sadryon | tr
Maros Veralan | tr
Marrys Madalvel | tr
Marthas Dervenni | tr
Marthen Redri | tr
Marthil Llarthas | tr
Marvs Thirenis | tr
Maryl Sevenas | tr
Massour Asserrumusa | vanilla
Master Bel-Betu | tr
Maten Releth | tr
Mathas Irathyn | tr
Mathis Baldan | tr
Mathis Dalobar | vanilla
Mathyn Bemis | vanilla
Mathyn Trinesi | tr
Mausur Ababael | vanilla
Mausur Assaplit | vanilla
Mausur Yakinusha | tr
Mavas Neloren | tr
Maver Andilu | tr
Mavis Nadram | vanilla
Mavis Omoril | tr
Mavis Uvalen | tr
Mavis Verelas | tr
Mavon Drenim | vanilla
Mavon Ervithril | tr
Mavus Ules | vanilla
Maynas Thilarvel | tr
Medar Dovyne | tr
Meden Fathyron | tr
Meden Madryon | tr
Meden Selas | tr
Meder Llarys | tr
Meder Nulen | vanilla
Meder Vorethi | tr
Mederyl Llendules | tr
Medhan Arvel | tr
Medhan Renim | tr
Mednil Thervoth | tr
Medur Daren | tr
Medvu Indul | tr
Medyl Farandas | tr
Medyn Arns | tr
Medyn Gilnith | vanilla
Meera Hleray | tr
Melar Aradil | tr
Melar Baram | vanilla
Melar Dalvani | tr
Melar Salosi | tr
Meldras Avilo | tr
Meldras Dreth | tr
Melil Andrani | tr
Melorn Nevil | tr
Melris Harrathi | tr
Mels Berano | tr
Mels Dredil | tr
Mels Llervo | tr
Mels Mathyn | tr
Melur Beloth | tr
Melvil Rithnim | tr
Melys Llarem | tr
Menas Diloran | tr
Menas Rivul | tr
Mendil Farlas | tr
Mendris Terif | tr
Mendyn Dulni | tr
Mendyn Hereloth | tr
Menelrys Llaram | tr
Menthri Davilos | tr
Menus Felas | vanilla
Meram Hledri | tr
Meran Valeth | tr
Mereda Lanerun | tr
Merel Tirven | tr
Meril Hlaano | vanilla
Meron Vedethil | tr
Meros Sarthel | tr
Mertil Belvilo | tr
Mertis Dalvani | tr
Mertis Falandas | vanilla
Mertisi Andavel | vanilla
Merven Dalvel | tr
Mervil Norenas | tr
Mervis Adryn | tr
Mervis Llarel | tr
Mervis Ravalen | tr
Mervs Herano | tr
Mervs Uvayn | vanilla
Mervyn Andalas | tr
Meryn Sarano | tr
Methal Felder | tr
Methal Seran | vanilla
Methas Hlaalu | vanilla
Methas Moril | tr
Methas Saren | tr
Methes Rethendus | tr
Methrendes Garil | tr
Mevel Fererus | vanilla
Meven Damori | tr
Meven Savaryn | tr
Meven Seri | tr
Meven Uvaren | vanilla
Mevil Llerano | tr
Mevil Molor | vanilla
Mevil Uvaren | tr
Mevil Veloren | tr
Mevilan Vandas | tr
Mevlyn Dalvar | tr
Mibdinahaz Addunipu | vanilla
Midar Aravel | vanilla
Midave Llarys | tr
Milar Maryon | vanilla
Milar Sereth | tr
Milar Yantus | tr
Millur Bolothren | tr
Milres Uveler | tr
Mils Andrethi | vanilla
Mils Thirano | tr
Milthulsim Rithro | tr
Milus Marvos | tr
Milyn Faram | vanilla
Milyn Raviro | tr
Minderyl Sarath | tr
Minisun Ulirbabi | vanilla
Minnibi Selkin-Adda | vanilla
Mirenil Balusabu | tr
Mirisun Varen | tr
Miron Garer | vanilla
Miron Salen | tr
Miron Seles | tr
Mirveles Omaleran | tr
Mirvon Andrethi | vanilla
Misinath Ulvam | tr
Missun Akin | vanilla
Missun Hainterari | vanilla
Mithal Llothas | tr
Mithas Vemyn | tr
Mithne Talen | tr
Mivam Fandas | tr
Mivar Telim | tr
Mivas Gols | tr
Mivas Vendu | tr
Mivul Urvon | vanilla
Modran Falvanys | tr
Modryn Selas | tr
Mohryl Daranith | tr
Molem Neloth | tr
Mols Dalveni | tr
Mols Hlarsis | tr
Mols Varadras | tr
Molthos Nerlenis | tr
Mondras Varen | tr
Mondros Balur | vanilla
Moradil Duril | tr
Morag Tong Assassin | tr
Morah Savil | tr
Moram Llervor | tr
Mordren Athes | tr
Moren Aralas | tr
Moreth Helsim | tr
Morvil Arelath | tr
Morvil Lleranoth | tr
Morvin Girith | tr
Moryn Gilnam | tr
Mothas Sarem | tr
Mothas Vinryon | tr
Mothris Garvil | tr
Movis Darys | vanilla
Movis Raram | tr
Mubdan Assantinalit | vanilla
Mubdan Esurnadarpal | vanilla
Mudyn Rindo | tr
Mulakh Nevon | tr
Mulus Roloth | tr
Munys Droryn | tr
Mur-Ailat Kevaraddu | tr
Muran Samarys | tr
Murdered Captain | tr
Mureth Arelan | tr
Murva Inveru | tr
Musan Zaintashara | vanilla
Mut Urshan-Adairan | vanilla
Mutu Nambabud | tr
Muvis Moran | vanilla
Muvis Sathil | tr
Myl Feleryn | tr
Myron Rothalen | tr
Naamalvo Nerano | tr
Nadis Oram | tr
Nador Falor | tr
Nadras Arvel | tr
Nadras Tymirel | tr
Nads Tharen | vanilla
Nagoth Daril | tr
Naldo Relathim | tr
Naldyn Thavas | tr
Nalen Ammadhubi | tr
Nalenteris Brendu | tr
Naleth Llarni | tr
Nalis Doronil | tr
Nalis Gals | vanilla
Nalman Relarys | tr
Nalmen Athren | vanilla
Nalmen Drinith | tr
Nalmen Mirel | tr
Nalmen Ulven | tr
Nalmis Faveran | tr
Nalosi Alari | vanilla
Nalrin Vere | tr
Nals Garer | tr
Nals Indrano | vanilla
Nals Tobor | tr
Nalur Brilyn | tr
Nalur Hlarar | tr
Nalur Indrano | vanilla
Nalvas Hedoren | tr
Nalvos Omayn | tr
Nalvs Andolin | tr
Nalys Hludri | tr
Nalys Omaren | tr
Nantus Ralam | tr
Naral Dunden | tr
Naral Othreleth | vanilla
Nardis Indothan | tr
Naren Heladren | tr
Naribnat Vilthe | tr
Naril Tethras | tr
Naril Viri | tr
Narin Mrano | tr
Naris Mero | tr
Naris Selaren | vanilla
Naro Marvani | tr
Naroth Gilsen | tr
Nars Gortys | tr
Naruni Drethan | tr
Naruvel Sethandas | tr
Narvyn Dralas | tr
Nassuran Omoril | tr
Nathyn Hlervu | tr
Nathyn Ilnith | vanilla
Navam Veran | vanilla
Navil Drolnor | tr
Navil Ienith | vanilla
Navil Romavel | tr
Nedalor Ilves | tr
Nedim Fareloth | tr
Nedril Orelu | tr
Nedris Rathal | tr
Nedyn Breloth | tr
Neldam Heran | tr
Neldam Naros | tr
Neldam Volothre | tr
Neldris Llervu | vanilla
Neldro Redras | tr
Nelmil Hler | vanilla
Neloreth Selyn | tr
Nelos Athones | tr
Nelos Gilaram | tr
Nelos Llothri | tr
Nelos Onmar | vanilla
Nelos Rethan | tr
Nelos Verano | tr
Nels Hlervu | tr
Nels Llendo | vanilla
Nels Vlars | tr
Nelvon Levys | tr
Nelvon Radas | vanilla
Nelyn Fathis | tr
Nelyn Ildram | tr
Nelyn Sadri | vanilla
Nelyos Givaron | tr
Nemaris Madryon | tr
Nemon Sadras | tr
Neral Thelas | tr
Neram Andus | tr
Neran Nelor | tr
Neras Hardil | tr
Nerav Falas | tr
Neredene Ilno | tr
Nerer Beneran | vanilla
Nerer Malveth | tr
Neroy Assahin | tr
Nervu Gimayn | tr
Nervul Dresan | tr
Nervul Sadrys | tr
Nethan Farys | tr
Nethis Virian | tr
Nethran Varileth | tr
Nethyn Avarys | tr
Nethyn Hlels | tr
Nethyn Valno | vanilla
Nethyn Veroth | tr
Nevam Renadas | tr
Nevam Vadaryn | tr
Nevel Maluran | tr
Nevil Malvayn | vanilla
Nevon Verilnith | vanilla
Nevos Drelvi | tr
Nevos Urns | vanilla
Nevosi Hlan | vanilla
Nevosi Veloth | tr
Nevus Ilneram | tr
Nibarr Arendus | tr
Nibarr Irethi | tr
Nibarrab Andrelo | tr
Nibrasa Areloth | tr
Niden Farandan | tr
Niden Naros | vanilla
Nidril Tadare | tr
Nifum Othril | tr
Nikhil Sadas | tr
Nilam Seras | tr
Nilar Verendas | tr
Nilas Brilyn | vanilla
Nilen Rals | tr
Nilos Moran | tr
Nilos Talds | vanilla
Niloth Otheri | tr
Nilthis Drelvi | tr
Nilus Indarys | tr
Nind Dudnebisun | vanilla
Ninimilk Addinibi | vanilla
Nirait Erarbad | tr
Nirait Shin-Ilu | vanilla
Niram Gilveni | tr
